repeat_index,page_index,start_offset_bytes,update_count,first_touch_update,last_touch_update
0,297,622854144,1045115,6905,536870007
0,298,624951296,1041715,13979,536870339
0,299,627048448,1046219,3983,536867897
0,300,629145600,1047450,12870,536870567
0,301,631242752,1045852,6032,536867493
0,302,633339904,1047543,14906,536869239
0,303,635437056,1051283,4672,536870718
0,304,637534208,1048577,2318,536870256
0,305,639631360,1046659,3918,536869696
0,306,641728512,1045858,2379,536870563
0,307,643825664,1045955,2314,536870204
0,308,645922816,1043943,6535,536870150
0,309,648019968,1058700,3682,536870592
0,310,650117120,1049674,2505,536870374
0,311,652214272,1045380,4738,536870269
0,312,654311424,1045830,6093,536870640
0,313,656408576,1044829,12491,536870316
0,314,658505728,1041017,12364,536870664
0,315,660602880,1041394,6474,536870068
0,316,662700032,1052600,2444,536870778
0,317,664797184,1041681,3738,536870791
0,318,666894336,1045818,4492,536870784
0,319,668991488,1049732,2690,536869503
0,320,671088640,1057424,145,536868992
0,321,673185792,1047225,3625,536869534
0,322,675282944,1047065,6343,536870077
0,323,677380096,1043594,5966,536870501
0,324,679477248,1047905,391,536870344
0,325,681574400,1052769,641,536870764
0,326,683671552,1046467,7849,536870088
0,327,685768704,1045001,6848,536870291
0,328,687865856,1044086,4430,536869022
0,329,689963008,1041928,9997,536869441
0,330,692060160,1044105,12101,536870729
0,331,694157312,1048035,4922,536870716
0,332,696254464,1047021,12429,536870254
0,333,698351616,1043507,2992,536868379
0,334,700448768,1041793,14411,536870602
0,335,702545920,1041666,3736,536870770
0,336,704643072,1048141,143,536869532
0,337,706740224,1046059,639,536870342
0,338,708837376,1044170,9995,536869827
0,339,710934528,1046720,3734,536869177
0,340,713031680,1044938,8327,536869530
0,341,715128832,1049807,8823,536870277
0,342,717225984,1045915,8390,536870693
0,343,719323136,1046968,3671,536870705
0,344,721420288,1052908,206,536870695
0,345,723517440,1042543,6785,536870587
0,346,725614592,1043549,11500,536869653
0,347,727711744,1050294,702,536870405
0,348,729808896,1046858,11050,536869776
0,349,731906048,1045296,14838,536870596
0,350,734003200,1054451,2929,536870309
0,351,736100352,1043190,3673,536870707
0,352,738197504,1053705,208,536870856
0,353,740294656,1045874,3803,536870283
0,354,742391808,1067393,3688,536870570
0,355,744488960,1049103,8394,536870697
0,356,746586112,1045499,3859,536869724
0,357,748683264,1047149,6779,536868974
0,358,750780416,1045942,2502,536870589
0,359,752877568,1042623,6090,536870637
0,360,754974720,1048320,1997,536869655
0,361,757071872,1043818,2989,536866371
0,362,759169024,1046404,3755,536868674
0,363,761266176,1047872,707,536870378
0,364,763363328,1052938,461,536870853
0,365,765460480,1068194,704,536870843
0,366,767557632,1049012,454,536870846
0,367,769654784,1046052,2752,536870407
0,368,771751936,1046432,335,536870225
0,369,773849088,1049955,1871,536868442
0,370,775946240,1052549,11992,536870511
0,371,778043392,1048476,4734,536870559
0,372,780140544,1043892,4045,536870598
0,373,782237696,1046300,14840,536870583
