repeat_index,page_index,start_offset_bytes,update_count,first_touch_update,last_touch_update
0,273,572522496,1328869,267,1342177259
0,274,574619648,1307144,5843,1342175482
0,275,576716800,1308348,3379,1342176448
0,276,578813952,1318073,397,1342176050
0,277,580911104,1313002,643,1342174711
0,278,583008256,1312177,3751,1342177128
0,279,585105408,1309916,6715,1342177275
0,280,587202560,1307791,4366,1342176313
0,281,589299712,1305469,7851,1342175800
0,282,591396864,1312826,11747,1342176972
0,283,593494016,1305138,5902,1342173809
0,284,595591168,1308397,13002,1342176712
0,285,597688320,1306921,6850,1342176925
0,286,599785472,1306115,8074,1342177146
0,287,601882624,1307621,11441,1342176867
0,288,603979776,1310144,2127,1342175408
0,289,606076928,1312052,2623,1342172002
0,290,608174080,1306387,4359,1342176637
0,291,610271232,1307920,4855,1342176969
0,292,612368384,1315713,10444,1342175978
0,293,614465536,1306890,10311,1342176746
0,294,616562688,1310663,9999,1342176146
0,295,618659840,1304973,12543,1342176993
0,296,620756992,1306479,7846,1342175621
0,297,622854144,1306879,11115,1342177087
0,298,624951296,1304893,13979,1342176749
0,299,627048448,1306562,11999,1342176056
0,300,629145600,1309204,12987,1342177074
0,301,631242752,1310115,7408,1342176819
0,302,633339904,1306990,14906,1342176725
0,303,635437056,1310953,4924,1342177051
0,304,637534208,1309655,4111,1342176678
0,305,639631360,1314137,3918,1342176629
0,306,641728512,1308929,2871,1342176671
0,307,643825664,1306082,2375,1342175223
0,308,645922816,1310341,6535,1342176197
0,309,648019968,1321191,6658,1342176900
0,310,650117120,1314699,2994,1342174670
0,311,652214272,1308495,10991,1342176500
0,312,654311424,1306655,14413,1342176996
0,313,656408576,1306588,15421,1342176548
0,314,658505728,1303550,12364,1342176984
0,315,660602880,1304574,19766,1342175152
0,316,662700032,1308682,5484,1342177092
0,317,664797184,1302197,3738,1342175777
0,318,666894336,1309594,4492,1342175244
0,319,668991488,1309531,6930,1342176845
0,320,671088640,1319175,145,1342174834
0,321,673185792,1312879,3625,1342176430
0,322,675282944,1308097,6343,1342175902
0,323,677380096,1309543,6839,1342172010
0,324,679477248,1312003,391,1342174958
0,325,681574400,1319786,641,1342177126
0,326,683671552,1307919,7849,1342176078
0,327,685768704,1305951,8072,1342177144
0,328,687865856,1305180,12238,1342176587
0,329,689963008,1303408,9997,1342176991
0,330,692060160,1305819,13977,1342176054
0,331,694157312,1309612,11118,1342177072
0,332,696254464,1312030,20054,1342176669
0,333,698351616,1309221,6656,1342176458
